clientID_0,clientID_1,clientID_2,clientID_3,clientID_4,clientID_5,clientID_6,clientID_7,clientID_8,clientID_9,clientID_10,clientID_11,clientID_12,clientID_13,clientID_14,clientID_15,clientID_16,clientID_17,clientID_18,clientID_19,ResourceID
3,1,2,1,1,2,1,3,1,2,2,2,1,2,2,1,3,1,2,2,0
1,3,2,2,2,1,2,3,2,2,3,2,1,1,1,3,2,1,3,2,1
3,1,1,1,3,3,1,3,1,1,2,3,1,1,3,2,2,1,3,2,2
3,3,1,2,1,2,2,2,2,2,3,1,3,2,1,2,1,3,1,1,3
1,1,1,2,1,1,3,1,3,2,1,3,3,2,1,1,3,1,3,1,4
3,1,2,1,1,2,1,2,1,3,3,1,1,1,3,1,3,2,3,3,5
2,3,1,1,3,1,3,1,1,3,1,3,1,1,2,2,3,2,3,2,6
1,3,3,1,3,3,2,3,1,2,2,1,1,2,3,2,1,2,1,2,7
3,2,2,1,1,1,2,3,1,1,2,1,3,3,1,1,2,3,3,1,8
2,3,3,2,2,3,3,2,3,1,1,2,2,2,1,3,1,3,1,3,9
1,2,1,3,1,1,1,2,1,2,2,1,1,1,3,1,2,1,3,1,10
3,3,1,2,3,1,1,2,3,3,1,1,2,2,3,3,1,3,2,2,11
1,2,2,2,2,1,1,3,2,3,1,1,1,1,1,1,1,2,3,1,12
2,2,3,1,3,1,2,2,2,2,3,1,1,3,1,2,1,2,3,1,13
3,1,2,3,1,2,3,3,1,1,1,2,1,3,3,1,1,3,2,1,14
1,3,1,2,3,1,3,1,1,1,2,2,3,1,1,2,1,2,1,3,15
1,1,2,1,1,2,3,3,2,2,2,2,2,3,3,2,1,2,1,2,16
2,3,1,1,3,3,3,3,1,1,2,2,3,3,3,2,2,2,2,2,17
2,2,3,3,3,3,2,1,2,1,3,2,3,2,3,1,1,1,2,1,18
2,1,1,2,2,1,2,1,2,3,3,3,3,3,1,3,3,3,3,2,19
